Jul 20 20:24:23 <ria>	<kushal> ria, don't think so, try and see :)
Jul 20 20:24:40 <ria>	kushal, you said it later what i pasted
Jul 20 20:24:43 <ria>	<kushal> ria, don't think so, try and see :)
Jul 20 20:24:48 <kushal>	ria, I asked you not to think, try and see
Jul 20 20:24:49 *	Kkhushi_ (n=khushbu@59.180.145.102) has joined #dgplug
Jul 20 20:25:04 <ria>	o i interpreted wrong
Jul 20 20:25:05 <kushal>	anyway moving ahead 
Jul 20 20:25:06 <ria>	:)
Jul 20 20:25:30 <kushal>	Problem you should solve later at home : Home Task
Jul 20 20:25:32 <ria>	sure
Jul 20 20:25:56 <kushal>	Write a program to print Roman equivalent of a decimal number 
Jul 20 20:26:42 <kushal>	To solve now
Jul 20 20:26:52 *	Kkhushi__ (n=khushbu@59.180.144.152) has joined #dgplug
Jul 20 20:27:04 <kushal>	Write a program which will split a given file into small parts
Jul 20 20:27:23 <kushal>	and then another code which will join these parts into the original file 
Jul 20 20:29:02 *	makghosh has quit (Read error: 110 (Connection timed out))
Jul 20 20:29:38 <ria>	kushal, http://rafb.net/p/Yj1oYm21.html
Jul 20 20:29:53 <ria>	kushal, i corrected it and working now better
Jul 20 20:30:07 <kushal>	ria, ok
Jul 20 20:30:56 <kushal>	every one understood the problem ?
Jul 20 20:31:27 <ria>	kushal, can you give the module link?
Jul 20 20:31:32 <Kkhushi__>	yup
Jul 20 20:31:43 <kushal>	ria, docs.python.org 
Jul 20 20:31:48 *	Prakhar is away for 10 minutes
Jul 20 20:32:05 <kushal>	all python documentation can be found at docs.python.org 
Jul 20 20:32:15 <ria>	kushal, what do you mean by small parts?
Jul 20 20:32:35 <kushal>	ria, split a file into smaller size files 
Jul 20 20:33:03 <ria>	kushal, an example?
Jul 20 20:33:12 <kushal>	ria, google 
Jul 20 20:33:27 <kushal>	for file splitter 
Jul 20 20:33:47 <ria>	kushal, actually i did not understand the question
Jul 20 20:34:07 <kushal>	ria, google for file splitter 
Jul 20 20:34:24 <ria>	i find for windows
Jul 20 20:35:02 <Kkhushi__>	ria if we have a essay in a file we have to split the file in smaller files containing one para or something like that
Jul 20 20:35:07 <kushal>	yes
Jul 20 20:35:23 <kushal>	Kkhushi_, very strange example :p
Jul 20 20:35:26 <ria>	kishanGoyal,
Jul 20 20:35:28 <kushal>	afk
Jul 20 20:35:31 <ria>	Kkhushi, ok
Jul 20 20:35:34 <ria>	kushal, wait
Jul 20 20:36:00 <ria>	kushal, the splitted parts will be in files?
Jul 20 20:36:23 <ria>	there will be separate files for them?
Jul 20 20:36:45 <ria>	Kkhushi, will there be separate files for them?
Jul 20 20:36:54 <ria>	i mean the smaller parts?
Jul 20 20:36:56 <Kkhushi__>	ria, yes
Jul 20 20:37:04 <ria>	ok thanks Kkhushi
Jul 20 20:37:53 <Kkhushi__>	kushal, on what basis we'll split the files??
Jul 20 20:38:18 <Kkhushi__>	number of characters?? i guess
Jul 20 20:38:24 <kushal>	Kkhushi, you decide 
Jul 20 20:38:31 <kushal>	Kkhushi, it may be a binary file 
Jul 20 20:39:36 <kushal>	http://docs.python.org/lib/bltin-file-objects.html   this is what you need to know 
Jul 20 20:41:19 *	Prakhar has to urgently leave
Jul 20 20:41:29 <Prakhar>	kushal: sorry, urgent work
Jul 20 20:41:35 *	Kkhushi has quit (Nick collision from services.)
Jul 20 20:41:43 *	Kkhushi__ is now known as Kkhushi
Jul 20 20:42:18 <Prakhar>	kushal: i'll read the log later.
Jul 20 20:42:27 <kushal>	btw, I am going to take SVN class , so everyone mail me their desired password (at least 6 characters )
Jul 20 20:43:01 <Prakhar>	kushal: waiting for your permission :)
Jul 20 20:43:17 <kushal>	Prakhar, no need , just go :)
Jul 20 20:43:29 <Prakhar>	kushal: ok, thanks
